,id,word,ipa_gb,ipa_us,audio_gb,audio_us
0,1,a,ə,ə,a__gb_2.mp3,a__us_2_rr.mp3
1,2,abandon,əˈband(ə)n,əˈbændən,abandon_gb_1.mp3,abandon_us_1.mp3
2,3,abbey,ˈabi,ˈæbi,abbey_gb_1.mp3,abbey_us_1.mp3
3,4,abide,əˈbʌɪd,əˈbaɪd,abide_gb_1.mp3,abide_us_1.mp3
4,5,ability,əˈbɪlɪti,əˈbɪlədi,ability_gb_1_8.mp3,ability_us_1.mp3
5,6,able,ˈeɪb(ə)l,ˈeɪbəl,able_gb_1.mp3,able_us_1.mp3
6,7,abnormal,əbˈnɔːm(ə)l,æbˈnɔrməl,abnormal_gb_1_8.mp3,abnormal_us_1.mp3
7,8,aboard,əˈbɔːd,əˈbɔrd,aboard_gb_1.mp3,aboard_us_1.mp3
8,9,abolish,əˈbɒlɪʃ,əˈbɑlɪʃ,abolish_gb_1.mp3,abolish_us_1.mp3
9,10,aborigine,abəˈrɪdʒɪniː,ˌæbəˈrɪdʒəni,aborigine_gb_1_8.mp3,aborigine_us_1.mp3
10,11,abortion,əˈbɔːʃ(ə)n,əˈbɔrʃ(ə)n,abortion_gb_1.mp3,abortion_us_1.mp3
11,12,about,əˈbaʊt,əˈbaʊt,about_gb_1.mp3,about_us_1.mp3
12,13,above,əˈbʌv,əˈbəv,above_gb_1.mp3,above_us_1.mp3
13,14,abroad,əˈbrɔːd,əˈbrɔd,abroad_gb_1.mp3,abroad_us_1.mp3
14,15,absence,ˈabs(ə)ns,ˈæbsəns,absence_gb_1.mp3,absence_us_1.mp3
15,16,absolute,ˈabsəluːt,ˌæbsəˈlut,absolute_gb_1.mp3,absolute_us_3_rr.mp3
16,17,absolutely,ˈabsəluːtli,ˌæbsəˈl(j)utli,absolutely_gb_1.mp3,absolutely_us_2_rr.mp3
17,18,absorb,əbˈzɔːb,əbˈzɔrb,absorb_gb_2.mp3,absorb_us_2.mp3
18,19,abstract,ˈabstrakt,ˈæbˌstrækt,abstract_gb_2.mp3,abstract_us_2.mp3
19,20,absurd,əbˈsəːd,əbˈsərd,absurd_gb_1.mp3,absurd_us_1_rr.mp3
20,21,abundant,əˈbʌnd(ə)nt,əˈbəndənt,abundant_gb_1.mp3,abundant_us_1.mp3
21,22,abuse,əˈbjuːs,əˈbjus,abuse_gb_1.mp3,abuse_us_1.mp3
22,23,academic,akəˈdɛmɪk,ˌækəˈdɛmɪk,academic_gb_1.mp3,academic_us_1.mp3
23,24,academy,əˈkadəmi,əˈkædəmi,academy_gb_1.mp3,academy_us_1.mp3
24,25,accelerate,əkˈsɛləreɪt,əkˈsɛləˌreɪt,accelerate_gb_1.mp3,accelerate_us_1.mp3
25,26,accent,akˈsɛnt,ækˈsɛnt,accent_gb_3.mp3,accent_us_3_rr.mp3
26,27,accept,əkˈsɛpt,əkˈsɛpt,accept_gb_1.mp3,accept_us_1.mp3
27,28,access,ˈaksɛs,ˈækˌsɛs,access_gb_1.mp3,access_us_5.mp3
28,29,accessory,əkˈsɛs(ə)ri,əkˈsɛs(ə)ri,accessory_gb_1.mp3,accessory_us_1.mp3
29,30,accident,ˈaksɪd(ə)nt,ˈæksədənt,accident_gb_1.mp3,accident_us_1.mp3
30,31,accommodate,əˈkɒmədeɪt,əˈkɑməˌdeɪt,accommodate_gb_1.mp3,accommodate_us_1.mp3
31,32,accompany,əˈkʌmpəni,əˈkəmp(ə)ni,accompany_gb_1.mp3,accompany_us_1.mp3
32,33,accomplish,əˈkʌmplɪʃ,əˈkɑmplɪʃ,accomplish_gb_1.mp3,accomplish_us_1.mp3
33,34,accordingly,əˈkɔːdɪŋli,əˈkɔrdɪŋli,accordingly_gb_1.mp3,accordingly_us_1.mp3
34,35,account,əˈkaʊnt,əˈkaʊnt,account_gb_1.mp3,account_us_1.mp3
35,36,accountant,əˈkaʊnt(ə)nt,əˈkaʊnt(ə)nt,accountant_gb_1.mp3,accountant_us_1.mp3
36,37,accumulate,əˈkjuːmjʊleɪt,əˈkjum(j)əˌleɪt,accumulate_gb_1_8.mp3,accumulate_us_1.mp3
37,38,accurate,ˈakjʊrət,ˈækjərət,accurate_gb_1_8.mp3,accurate_us_1.mp3
38,39,accuse,əˈkjuːz,əˈkjuz,accuse_gb_1.mp3,accuse_us_1.mp3
39,40,accustomed,əˈkʌstəmd,əˈkəstəmd,accustomed_gb_1.mp3,accustomed_us_1.mp3
40,41,achieve,əˈtʃiːv,əˈtʃiv,achieve_gb_1.mp3,achieve_us_1.mp3
41,42,achievement,əˈtʃiːvm(ə)nt,əˈtʃivmənt,achievement_gb_1.mp3,achievement_us_1.mp3
42,43,acid,ˈasɪd,ˈæsəd,acid_gb_1.mp3,acid_us_1.mp3
43,44,acknowledge,əkˈnɒlɪdʒ,əkˈnɑlədʒ,acknowledge_gb_1.mp3,acknowledge_us_1.mp3
44,45,acquaint,əˈkweɪnt,əˈkweɪnt,acquaint_gb_1.mp3,acquaint_us_1.mp3
45,46,acquire,əˈkwʌɪə,əˈkwaɪ(ə)r,acquire_gb_1.mp3,acquire_us_1.mp3
46,47,acquisition,ˌakwɪˈzɪʃ(ə)n,ˌækwəˈzɪʃ(ə)n,acquisition_gb_1.mp3,acquisition_us_1.mp3
47,48,acrobat,ˈakrəbat,ˈækrəˌbæt,acrobat_gb_1.mp3,acrobat_us_1.mp3
48,49,across,əˈkrɒs,əˈkrɑs,across_gb_1.mp3,across_us_3.mp3
49,50,action,ˈakʃ(ə)n,ˈækʃ(ə)n,action_gb_1.mp3,action_us_1.mp3
50,51,active,ˈaktɪv,ˈæktɪv,active_gb_1.mp3,active_us_1.mp3
51,52,activist,ˈaktɪvɪst,ˈæktɪvəst,activist_gb_1.mp3,activist_us_1.mp3
52,53,activity,akˈtɪvɪti,ækˈtɪvədi,activity_gb_1_8.mp3,activity_us_1.mp3
53,54,actor,ˈaktə,ˈæktər,actor_gb_1.mp3,actor_us_1.mp3
54,55,actress,ˈaktrəs,ˈæktrəs,actress_gb_1_8.mp3,actress_us_1.mp3
55,56,actual,ˈaktʃʊəl,ˈæk(t)ʃ(u)əl,actual_gb_1_8.mp3,actual_us_1.mp3
56,57,actually,ˈaktʃʊəli,ˈæk(t)ʃ(u)əli,actually_gb_2.mp3,actually_us_1.mp3
57,58,acute,əˈkjuːt,əˈkjut,acute_gb_1.mp3,acute_us_1.mp3
58,59,adapt,əˈdapt,əˈdæpt,adapt_gb_1.mp3,adapt_us_1.mp3
59,60,addict,ˈadɪkt,ˈædɪkt,addict_gb_1.mp3,addict_us_1.mp3
60,61,addition,əˈdɪʃ(ə)n,əˈdɪʃ(ə)n,addition_gb_1.mp3,addition_us_1.mp3
61,62,additional,əˈdɪʃ(ə)n(ə)l,əˈdɪʃ(ə)n(ə)l,additional_gb_1.mp3,additional_us_1.mp3
62,63,address,əˈdrɛs,əˈdrɛs,address_gb_2.mp3,address_us_2.mp3
63,64,adept,ˈadɛpt,əˈdɛpt,adept_gb_2.mp3,adept_us_1_rr.mp3
64,65,adequate,ˈadɪkwət,ˈædəkwət,adequate_gb_1.mp3,adequate_us_1.mp3
65,66,adhere,ədˈhɪə,ədˈhɪr,adhere_gb_1.mp3,adhere_us_1.mp3
66,67,adhesive,ədˈhiːsɪv,ædˈhisɪv,adhesive_gb_1.mp3,adhesive_us_1.mp3
67,68,adjoin,əˈdʒɔɪn,əˈdʒɔɪn,adjoin_gb_1.mp3,adjoin_us_1.mp3
68,69,adjust,əˈdʒʌst,əˈdʒəst,adjust_gb_1.mp3,adjust_us_1.mp3
69,70,adjustment,əˈdʒʌs(t)m(ə)nt,əˈdʒəstmənt,adjustment_gb_1.mp3,adjustment_us_1.mp3
70,71,administer,ədˈmɪnɪstə,ədˈmɪnəstər,administer_gb_1.mp3,administer_us_1.mp3
71,72,administration,ədmɪnɪˈstreɪʃ(ə)n,ədˌmɪnəˈstreɪʃ(ə)n,administration_gb_1.mp3,administration_us_1.mp3
72,73,administrative,ədˈmɪnɪstrətɪv,ədˈmɪnɪˌstrədɪv,administrative_gb_1.mp3,administrative_us_2_rr.mp3
73,74,administrator,ədˈmɪnɪstreɪtə,ədˈmɪnəˌstreɪdər,administrator_gb_1.mp3,administrator_us_1.mp3
74,75,admiral,ˈadm(ə)r(ə)l,ˈædm(ə)rəl,admiral_gb_1.mp3,admiral_us_1.mp3
75,76,admire,ədˈmʌɪə,ədˈmaɪ(ə)r,admire_gb_1.mp3,admire_us_1.mp3
76,77,admission,ədˈmɪʃ(ə)n,ədˈmɪʃən,admission_gb_1.mp3,admission_us_1.mp3
77,78,admit,ədˈmɪt,ədˈmɪt,admit_gb_1.mp3,admit_us_1.mp3
78,79,admonish,ədˈmɒnɪʃ,ədˈmɑnɪʃ,admonish_gb_1.mp3,admonish_us_1.mp3
79,80,adolescent,adəˈlɛs(ə)nt,ˌædəˈlɛs(ə)nt,adolescent_gb_1.mp3,adolescent_us_1.mp3
80,81,adopt,əˈdɒpt,əˈdɑpt,adopt_gb_1.mp3,adopt_us_1.mp3
81,82,adorn,əˈdɔːn,əˈdɔrn,adorn_gb_1.mp3,adorn_us_1.mp3
82,83,adult,ˈadʌlt,əˈdəlt,adult_gb_1.mp3,adult_us_2_rr.mp3
83,84,advance,ədˈvɑːns,ədˈvæns,advance_gb_1.mp3,advance_us_1.mp3
84,85,advanced,adˈvɑːnst,ədˈvænst,advanced_gb_1.mp3,advanced_us_1.mp3
85,86,advantage,ədˈvɑːntɪdʒ,ədˈvæn(t)ɪdʒ,advantage_gb_1.mp3,advantage_us_1.mp3
86,87,advent,ˈadv(ə)nt,ˈædˌvɛnt,advent_gb_3.mp3,advent_us_1.mp3
87,88,adventure,ədˈvɛntʃə,ædˈvɛn(t)ʃər,adventure_gb_1.mp3,adventure_us_1.mp3
88,89,adverse,ˈadvəːs,ædˈvərs,adverse_gb_1.mp3,adverse_us_2_rr.mp3
89,90,advertise,ˈadvətʌɪz,ˈædvərˌtaɪz,advertise_gb_1.mp3,advertise_us_1.mp3
90,91,advertising,ˈadvətʌɪzɪŋ,ˈædvərˌtaɪzɪŋ,advertising_gb_1.mp3,advertising_us_1.mp3
91,92,advice,ədˈvʌɪs,ədˈvaɪs,advice_gb_1.mp3,advice_us_1.mp3
92,93,advise,ədˈvʌɪz,ədˈvaɪz,advise_gb_1.mp3,advise_us_1.mp3
93,94,adviser,ədˈvʌɪzə,ədˈvaɪzər,adviser_gb_1.mp3,adviser_us_1.mp3
94,95,advocacy,ˈadvəkəsi,ˈædvəkəsi,advocacy_gb_1.mp3,advocacy_us_1.mp3
95,96,advocate,ˈadvəkeɪt,ˈædvəˌkeɪt,advocate_gb_1.mp3,advocate_us_1.mp3
96,97,aerial,ˈɛːrɪəl,ˈɛriəl,aerial_gb_1_8.mp3,aerial_us_1.mp3
97,98,aesthetic,iːsˈθɛtɪk,ɛsˈθɛdɪk,aesthetic_gb_1.mp3,aesthetic_us_1_rr.mp3
98,99,affair,əˈfɛː,əˈfɛr,affair_gb_2.mp3,affair_us_1.mp3
99,100,affect,ˈafɛkt,əˈfɛkt,affect_gb_2.mp3,affect_us_3.mp3
100,101,affection,əˈfɛkʃ(ə)n,əˈfɛkʃ(ə)n,affection_gb_1.mp3,affection_us_1.mp3
101,102,affirm,əˈfəːm,əˈfərm,affirm_gb_1.mp3,affirm_us_1.mp3
102,103,affluent,ˈaflʊənt,ˈæfluənt,affluent_gb_2.mp3,affluent_us_1.mp3
103,104,afford,əˈfɔːd,əˈfɔrd,afford_gb_1.mp3,afford_us_1.mp3
104,105,afraid,əˈfreɪd,əˈfreɪd,afraid_gb_1.mp3,afraid_us_1.mp3
105,106,african,ˈafrɪk(ə)n,ˈæfrəkən,african_gb_1.mp3,african_us_1.mp3
106,107,after,ˈɑːftə,ˈæftər,after_gb_1.mp3,after_1_us_1.mp3
107,108,afternoon,ɑːftəˈnuːn,ˌæftərˈnun,afternoon_gb_1.mp3,afternoon_us_1.mp3
108,109,again,əˈɡeɪn,əˈɡɛn,again_gb_2.mp3,again_us_1.mp3
109,110,against,əˈɡɛnst,əˈɡɛnst,against_gb_1.mp3,against_us_1.mp3
110,111,age,eɪdʒ,eɪdʒ,age_gb_1.mp3,age_us_1.mp3
111,112,agency,ˈeɪdʒ(ə)nsi,ˈeɪdʒənsi,agency_gb_1.mp3,agency_us_1.mp3
112,113,agenda,əˈdʒɛndə,əˈdʒɛndə,agenda_gb_1.mp3,agenda_us_1.mp3
113,114,agent,ˈeɪdʒ(ə)nt,ˈeɪdʒənt,agent_gb_1.mp3,agent_us_1.mp3
114,115,aggregate,ˈaɡrɪɡeɪt,ˈæɡrəˌɡeɪt,aggregate_gb_3.mp3,aggregate_us_3.mp3
115,116,aggression,əˈɡrɛʃ(ə)n,əˈɡrɛʃən,aggression_gb_1.mp3,aggression_us_1.mp3
116,117,aggressive,əˈɡrɛsɪv,əˈɡrɛsɪv,aggressive_gb_1.mp3,aggressive_us_1.mp3
117,118,ago,əˈɡəʊ,əˈɡoʊ,ago_gb_1.mp3,ago_us_1.mp3
118,119,agree,əˈɡriː,əˈɡri,agree_gb_1.mp3,agree_us_1.mp3
